"nome","resumo","coordenador"
"REVISTA DA FACULDADE DE DIREITO DA UERJ - RFD","Em breve este conteúdo estará disponível.","Antonio Augusto Madureira De Pinho "
"REVISTA CONTEXTO JURÍDICO","Em breve este conteúdo estará disponível.","Bianca Tomaino De Souza "
"SABER O DIREITO: CAMINHOS PARA UMA ANDRAGOGIA CONTEMPORÂNEA","Em breve este conteúdo estará disponível.","Bianca Tomaino De Souza "
"A APLICAÇÃO DA JUSTIÇA ARISTOTÉLICA NO SUPREMO TRIBUNAL FEDERAL","Em breve este conteúdo estará disponível.","Daniel Nunes Pêcego "
"MONITORIA EM TEORIA GERAL DO PROCESSO I","Em breve este conteúdo estará disponível.","Flavia Pereira Hill "
"MONITORIA EM DIREITO PROCESSUAL CIVIL I","Em breve este conteúdo estará disponível.","Flavia Pereira Hill "
"PRODOCÊNCIA- OFICINA DE ESCRITA JURÍDICA","Em breve este conteúdo estará disponível.","Flavia Pereira Hill "
"MUSEU DE HISTÓRIA E MEMÓRIA DA FACULDADE DE DIREITO DA UERJ","Em breve este conteúdo estará disponível.","Gustavo Silveira Siqueira "
"UMA HISTÓRIA DO JUDICIÁRIO FLUMINENSE (1820-1988): PESQUISA NOS PROCESSOS DA CIDADE DE BARRA MANSA","Em breve este conteúdo estará disponível.","Gustavo Silveira Siqueira "
"A TEORIA GERAL DOS TIT. DE CRÉD. E USO DE RECURSOS TECNOLÓGICOS NO PROTESTO DOS TÍTULOS ESCRITURAIS","Em breve este conteúdo estará disponível.","Leonardo Da Silva Sant'anna "
"TEORIA GERAL DO PROCESSO II","Em breve este conteúdo estará disponível.","Marco Antonio Dos Santos Rodrigues "
"MONITORIA DIREITO E PENSAMENTO POLÍTICO II MATUTINO","Em breve este conteúdo estará disponível.","Marco Aurelio Marrafon "
"DIREITO E PENSAMENTO POLÍTICO II NOTURNO","Em breve este conteúdo estará disponível.","Marco Aurelio Marrafon "
"DIREITO AO PONTO","Em breve este conteúdo estará disponível.","Milena Donato Oliva "
"MONITORIA EM DIREITO CIVIL II","Em breve este conteúdo estará disponível.","Rodrigo Da Guia Silva "
"MONITORIA EM DIREITO CIVIL IV","Em breve este conteúdo estará disponível.","Rodrigo Da Guia Silva "
"ROMPENDO BARREIRAS NA PGUERJ E NA FACULDADE DE EDUCAÇÃO","Em breve este conteúdo estará disponível.","Valeria De Oliveira Silva "
"MONITORIA DE DIREITO CONSTITUCIONAL","Em breve este conteúdo estará disponível.","Wallace De Almeida Corbo "
